N,Código,Tipo de muestra,x,y,Zona,Hoja,Nombre del proyecto,Año del proyecto ,N° Boletín,Serie,Año de Publicación,Región,Reporte,Laboratorio,Análisis,Geología,Au_g/Tm,Hg_ppb,Ag _ppm,Ba_ppm,Co_ppm,Cr_ppm,Cu_ppm,La _ppm,Li_ppm,Ni_ppm,Pb_ppm,Sc_ppm,Rb_ppm,Sr_ppm,V_ppm,Zn_ppm,As_ppm,Bi_ppm,Cd_ppm,Mo_ppm,Sb_ppm,Tl_2_ppm,W_2_ppm,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Na_pct,P_pct,Si_pct,Ti_pct,Y_ppm,Zr_ppm,Be_ppm,Ce_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,In_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Sm_ppm,Ta_ppm,Tb_ppm,Th_ppm,Tm_ppm,U_ppm,W_1_ppm,Yb_ppm
1,23l-RGQ24-026,Rocas,427987,8753813,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca metamórfica de textura bandeada, color gris verdoso, presenta boxwork en partes, con óxidos, epídota y clorita en fracturas. Roca caja alterada. E1: S40°W, E2: S70°W, E3: S20°W.",<0.027,<10,<0.5,26,48,58,191,7.4,28.756,68,<5,44,<2,205,359,127,<5,<10,<1,<2,<2,<0.5,<5,7.05,4.51,9.96,0.02,3.91,0.2,1.33,0.07,24.3,0.76,25,88,1.1,17.2,0.12,4.8,3,1,18.6,4.2,2.4,1,<0.2,0.44,4.1,11.8,2.5,3.8,<0.5,0.7,1.7,0.5,0.5,<1,2.9
2,23l-RGQ24-025,Rocas,427987,8753813,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca metamórfica de textura bandeada, color gris verdoso, presenta boxwork en partes, con óxidos, epídota y clorita en fracturas. Estructura de baritina y cuarzo. E1: S40°W, E2: S70°W, E3: S20°W.",<0.027,<10,<0.5,137,33,28,105,6.1,19.291,40,<5,26,<2,119,224,81,<5,<10,<1,<2,<2,<0.5,<5,4.06,1.84,5.85,<0.01,1.65,0.12,0.83,0.03,32.64,0.42,14,55,0.7,12.1,0.15,2.7,1.7,0.6,11.4,2.4,1.4,0.6,<0.2,0.26,2.5,7.5,1.6,2.1,<0.5,0.4,1.1,0.3,0.3,<1,1.7
3,23l-RGQ24-022,Rocas,437474,8738758,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Estructura mineralizada con baritina y óxidos de hierro, textura bandeada. Veta N 190°/65°NE.",<0.027,1440,<0.5,>100000,18,73,52,<2,19.302,29,<5,12,22,528,75,16,7,<10,<1,<2,9,<0.5,<5,1.96,0.03,9.21,0.4,0.08,0.74,0.13,0.04,8.02,0.18,<5,12,<0.6,3.6,4.78,0.7,0.5,3.5,4.6,1.2,0.6,0.1,<0.2,<0.15,<0.5,3.8,0.6,1.2,<0.5,0.2,<0.2,<0.1,<0.1,<1,0.4
4,23l-RGQ24-009,Rocas,435058,8740254,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Estructura mineralizada con serpentinización y silicificación, cortando a posible volcánico lavasen (capas de posibles filitas) de rumbo N50°W/10°SW.",<0.027,<10,<0.5,12,82,711,23,<2,8.738,1313,<5,31,<2,<2,515,60,42,<10,<1,<2,<2,<0.5,<5,2.62,0.75,9.9,<0.01,17.3,0.24,<0.01,0.02,17.06,1.75,9,15,<0.6,1.1,0.32,2.1,1.4,0.3,13.1,1.4,0.6,0.5,<0.2,0.23,1,1.7,0.3,1,<0.5,0.3,<0.2,0.2,<0.1,<1,1.4
5,22m-RGQ24-002,Rocas,469384,8795021,18,22-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca intrusiva granítica de textura granítica - inequigranular; contiene cuarzo > 20%, feldespatos > 30%, biotitas anhedrales < 10%. Fractura N175°/ 40°SO.",na,na,<0.5,91,2,3,<2,11.5,11.047,<5,11,<5,186,36,<10,1,<5,<10,<1,<2,<2,1.3,<5,6.28,0.42,0.93,3.66,0.09,<0.01,2.41,0.03,35.03,0.1,31,167,5.1,119.8,6.3,5.6,3.5,0.4,21.2,5.8,6.4,1.1,<0.2,0.65,39.6,35.4,10.2,7.2,4.2,0.9,50.5,0.6,5.7,4,4.3
6,23m-RGQ24-006,Rocas,467614,8770564,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Sienogranito cortado por venillas de óxidos de hierro (hematita-gohetita) + sílice, a su vez estas son cortadas por venillas de jarosita con arcillas blancas dispuestas a manera de sutura centrada.",na,na,<0.5,293,10,5,3,1255.2,20.018,8,8,<5,460,2,<10,21,51,<10,<1,3,<2,4.4,8,13.01,0.01,6.23,3.2,0.23,0.11,0.18,0.04,23.06,0.02,369,91,26.8,860.6,5.09,125.9,36.6,9.1,93.3,221.1,4.7,16.9,0.5,3.83,67.2,785.8,200.6,280.8,6.2,27.7,98.3,4.7,76.7,7,30.2
7,23m-RGQ24-008,Rocas,465536,8772375,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Veta de cuarzo blanco masivo con parches de goethita y jarosita, que hacia la caja piso es cortada por una venilla de cuarzo blanco tipo diente de perro con sutura centrada y oquedades rellenadas con especularita. Roca caja sienogranito rojizo de tonalidad mesócrata. Cuarzo (30%), feldespatos (40%), plagioclasas (10%). Veta N220°/60°NO, ancho 0.30 m.",<0.027,<10,<0.5,1088,4,8,3,51.6,39.385,6,13,<5,999,66,13,61,<5,<10,<1,<2,<2,4.4,8,8.15,0.09,2.68,4.65,0.4,0.02,0.1,0.03,32.2,0.07,157,237,15.4,98.8,18.42,21.7,14.2,1,46.2,19.1,9.3,4.6,<0.2,2.05,100.5,82.6,19.6,22.6,6.8,3.1,63.4,2.3,11.7,8,15.2
8,23l-RGQ24-004,Rocas,436993,8738979,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Veta de cuarzo y baritina con venillas de sílice - goethita, presenta textura bandeada coloforme, a su vez, corta a la brecha hidrotermal de textura de reemplazamiento polimíctica. Azimut/buzamiento de veta= N 255°/75°NW. Ancho de veta 15 cm.",<0.027,128,<0.5,>100000,22,52,31,4.2,32.897,25,<5,12,11,974,105,15,17,<10,<1,<2,8,<0.5,<5,2.58,0.01,12.67,0.16,0.03,0.54,0.05,0.05,9.02,0.3,7,30,<0.6,44.8,0.94,2,1,3.7,6.9,3.4,0.9,0.4,0.2,0.17,2.8,23.1,5.9,4.4,<0.5,0.4,0.9,0.2,0.1,<1,1.1
9,23m-RGQ24-013,Rocas,448136,8745945,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca metamórfica de color gris claro y textura foliada, con presencia de lentes de cuarzo hialino, sin clorita y epídota. Foliación N15°E/65°NO.",na,na,<0.5,543,17,84,18,24.9,42.255,31,20,19,106,108,150,85,<5,<10,<1,<2,<2,0.6,<5,8.27,0.37,4.47,2.29,1.09,0.04,1.19,0.07,30.41,0.46,33,213,3.3,82.5,4.84,6.2,3.5,1.5,23.7,7.1,6.1,1.2,<0.2,0.54,15.1,39.7,10,8.4,1.4,1,18.1,0.5,3.7,2,3.5
10,23l-RGQ24-005,Rocas,437173,8738940,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Brecha hidrotermal polimíctica, matriz soportada - cemento silicificado, con óxidos de gohetita+++, hematita- y jarosita++, con venillas y parches de magnetita, y presencia de venillas malaquita-calcantita, fragmentos de toba crist y esquisto argilizando fuertemente, forma subangular - subredondeado, ø > 15 cm, ø ? 8 - 6, ø < 2 cm. N 320°/80°NE. Ancho 3 m. ",<0.027,139,<0.5,3288,33,532,16,<2,292.515,70,<5,31,23,131,204,38,7,<10,<1,<2,9,<0.5,<5,7.78,0.04,16.66,0.63,0.07,1.13,0.67,0.03,22.25,0.59,15,54,1.1,11.4,5.12,3.5,2,1,17.1,2.9,1.5,0.7,0.2,0.29,1.4,8.9,1.8,2.7,<0.5,0.5,<0.2,0.3,0.3,1,1.9
