HOLE_ID,FROM,TO,ALTERACION,INTENSIDAD
DH-001,0,2,FILICA,Fuerte
DH-001,2,4,ARGILICA,Fuerte
DH-001,4,6,SILICIFICACION,Moderada
DH-001,6,8,ARGILICA,Moderada
DH-001,8,10,FILICA,Fuerte
DH-001,10,12,FILICA,Fuerte
DH-001,12,14,SILICIFICACION,Fuerte
DH-001,14,16,PROPILITICA,Moderada
DH-001,16,18,PROPILITICA,Debil
DH-001,18,20,SILICIFICACION,Debil
DH-001,20,22,SILICIFICACION,Debil
DH-001,22,24,ARGILICA,Debil
DH-001,24,26,SILICIFICACION,Moderada
DH-001,26,28,PROPILITICA,Debil
DH-001,28,30,SILICIFICACION,Fuerte
DH-001,30,32,ARGILICA,Fuerte
DH-001,32,34,ARGILICA,Debil
DH-001,34,36,ARGILICA,Fuerte
DH-001,36,38,ARGILICA,Moderada
DH-001,38,40,POTASICA,Debil
DH-001,40,42,SILICIFICACION,Debil
DH-001,42,44,FILICA,Moderada
DH-001,44,46,SILICIFICACION,Fuerte
DH-001,46,48,POTASICA,Moderada
DH-001,48,50,ARGILICA,Moderada
DH-001,50,52,POTASICA,Fuerte
DH-001,52,54,PROPILITICA,Moderada
DH-001,54,56,PROPILITICA,Fuerte
DH-001,56,58,SILICIFICACION,Fuerte
DH-001,58,60,SILICIFICACION,Moderada
DH-001,60,62,FILICA,Fuerte
DH-001,62,64,FILICA,Moderada
DH-001,64,66,PROPILITICA,Fuerte
DH-002,0,2,ARGILICA,Debil
DH-002,2,4,POTASICA,Fuerte
DH-002,4,6,FILICA,Fuerte
DH-002,6,8,FILICA,Moderada
DH-002,8,10,ARGILICA,Fuerte
DH-002,10,12,ARGILICA,Debil
DH-002,12,14,SILICIFICACION,Debil
DH-002,14,16,POTASICA,Fuerte
DH-002,16,18,ARGILICA,Fuerte
DH-002,18,20,FILICA,Debil
DH-002,20,22,FILICA,Moderada
DH-002,22,24,PROPILITICA,Debil
DH-002,24,26,ARGILICA,Debil
DH-002,26,28,SILICIFICACION,Fuerte
DH-002,28,30,POTASICA,Fuerte
DH-002,30,32,SILICIFICACION,Debil
DH-002,32,34,FILICA,Moderada
DH-002,34,36,SILICIFICACION,Debil
DH-002,36,38,FILICA,Debil
DH-002,38,40,FILICA,Moderada
DH-002,40,42,FILICA,Debil
DH-002,42,44,FILICA,Debil
DH-002,44,46,FILICA,Fuerte
DH-002,46,48,PROPILITICA,Moderada
DH-002,48,50,SILICIFICACION,Fuerte
DH-002,50,52,PROPILITICA,Fuerte
DH-002,52,54,PROPILITICA,Moderada
DH-002,54,56,ARGILICA,Moderada
DH-002,56,58,ARGILICA,Debil
DH-002,58,60,ARGILICA,Fuerte
DH-002,60,62,POTASICA,Moderada
DH-002,62,64,ARGILICA,Fuerte
DH-002,64,66,SILICIFICACION,Fuerte
DH-003,0,2,PROPILITICA,Moderada
DH-003,2,4,SILICIFICACION,Debil
DH-003,4,6,ARGILICA,Fuerte
DH-003,6,8,POTASICA,Moderada
DH-003,8,10,POTASICA,Debil
DH-003,10,12,PROPILITICA,Fuerte
DH-003,12,14,SILICIFICACION,Moderada
DH-003,14,16,FILICA,Fuerte
DH-003,16,18,SILICIFICACION,Moderada
DH-003,18,20,ARGILICA,Moderada
DH-003,20,22,FILICA,Fuerte
DH-003,22,24,POTASICA,Fuerte
DH-003,24,26,PROPILITICA,Moderada
DH-003,26,28,PROPILITICA,Debil
DH-003,28,30,POTASICA,Fuerte
DH-003,30,32,ARGILICA,Moderada
DH-003,32,34,POTASICA,Moderada
DH-003,34,36,ARGILICA,Debil
DH-003,36,38,FILICA,Debil
DH-003,38,40,POTASICA,Debil
DH-003,40,42,ARGILICA,Fuerte
DH-003,42,44,FILICA,Moderada
DH-003,44,46,POTASICA,Moderada
DH-003,46,48,PROPILITICA,Moderada
DH-003,48,50,POTASICA,Debil
DH-003,50,52,SILICIFICACION,Moderada
DH-003,52,54,POTASICA,Fuerte
DH-003,54,56,SILICIFICACION,Debil
DH-003,56,58,FILICA,Debil
DH-003,58,60,POTASICA,Debil
DH-003,60,62,FILICA,Debil
