HOLE_ID,FROM,TO,Al_pct,Ca_pct,Cu_ppm,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_pct,Pb_ppm,S_pct,Ti_pct,Zn_ppm,Mo_ppm,As_ppm
DH-001,0,2,8.75,2.77,230.7,3.09,5.28,2.91,2113,2.69,0.266,452.9,6.03,0.109,346.3,230.3,503.3
DH-001,2,4,14.51,4.71,1953.3,9.48,3.64,0.96,1586.7,2.97,0.037,506.5,1.3,0.616,946,87.6,147.7
DH-001,4,6,12.32,1.99,320.2,6.85,0.67,2.33,985.4,2.17,0.487,554,3.72,0.558,866,15.6,121
DH-001,6,8,10.99,4.81,264.5,6.47,5.62,1.91,716.7,0.36,0.121,210.1,2.87,0.435,293.6,52.7,305.4
DH-001,8,10,6.56,4.54,265.3,5.61,4.29,1.21,196.2,1.73,0.159,17.9,0.84,0.504,108.2,105.8,462.4
DH-001,10,12,6.56,1.06,2072.1,3.08,4.22,0.7,981.4,0.32,0.159,581.5,3.94,0.659,914.5,56.5,41.9
DH-001,12,14,5.58,0.44,1363.1,2.59,1.69,0.45,1994.2,1.46,0.123,433.2,7.37,0.236,1150.3,2.1,348.2
DH-001,14,16,13.66,0.59,938.5,2.98,4.12,1.88,2821.1,1.45,0.011,670.5,0.42,0.708,794.6,228.9,75.9
DH-001,16,18,11.01,0.19,583.4,2.68,2.67,2.35,2626.5,0.28,0.367,658.9,2.4,0.976,355.6,211.3,26.7
DH-001,18,20,12.08,0.56,2566.6,8.02,4.08,1.97,2321.6,1.25,0.484,676.2,1.74,0.924,1006.5,186.1,36.4
DH-001,20,22,5.21,3.45,648,4.15,1.09,1.64,2386.5,0.43,0.12,393.2,1.98,0.227,138.6,43.6,501.3
DH-001,22,24,14.7,0.45,2085.3,1.52,4.12,0.22,2028.5,2.84,0.335,273.6,7.28,0.222,673.9,31.9,75.2
DH-001,24,26,13.32,1.66,743.9,9.72,6,2.91,854.8,3.32,0.374,635.3,3.8,0.358,261.8,18.8,31.9
DH-001,26,28,7.12,4.24,617.7,8.95,0.77,2.42,2730.9,0.3,0.426,366.5,3.78,0.465,293,181.6,265.6
DH-001,28,30,6.82,0.21,795.4,9.35,5.87,0.95,2045.1,3.35,0.217,154.9,6.11,0.52,319.4,232.3,507.2
DH-001,30,32,6.83,4.09,480.4,9.95,2.74,2.94,1725.3,1.85,0.158,685.4,1.32,0.832,592.3,108.8,161.1
DH-001,32,34,8.04,1.48,1702.1,2.57,5.29,1.85,421.9,1.08,0.169,707.2,3.95,0.115,95.7,31.5,255.9
DH-001,34,36,10.25,0.68,888.3,4.57,4.8,1.79,1396.5,0.32,0.359,378.4,3.5,0.09,608.7,129.1,28.8
DH-001,36,38,9.32,3.51,367.1,7.82,3.62,2.27,1435,1.78,0.41,69.8,4.82,0.501,777.3,88.5,272.2
DH-001,38,40,7.91,3.18,2808,7.26,4.56,2.45,2607.2,2.79,0.099,316.4,8,0.852,735.3,95,348.7
DH-001,40,42,11.12,4.4,631.2,2.39,5.33,2,1685.3,2.49,0.192,644.8,6.18,0.272,586.5,156.1,344.7
DH-001,42,44,6.39,3.7,991.1,8.34,2.72,0.47,1203.2,0.22,0.452,722.4,3.24,0.788,1261.9,180.2,202.8
DH-001,44,46,7.92,4.04,2893.4,3.02,2.3,1.08,2932.7,0.3,0.405,170.7,6.64,0.349,235.1,29.4,192.7
DH-001,46,48,8.66,1.48,1224.6,3.01,4.17,2.79,421.1,1.44,0.493,62.9,1.45,1.069,768.4,10.8,68.4
DH-001,48,50,9.56,0.97,199.2,5.83,4.94,0.75,1325.4,1.07,0.38,703.1,0.34,1.08,111.8,248.6,223.2
DH-001,50,52,12.85,3.78,3422.7,6.34,4.69,1.18,221.9,0.85,0.203,317.6,1.72,0.392,125.3,59.7,64.2
DH-001,52,54,7,4.05,1235.7,6.22,4.89,1.35,2245.7,1.02,0.299,438,2.79,0.314,869.3,15.3,461.1
DH-001,54,56,10.14,4.95,539.4,1.82,2.9,1.37,2762.4,2.82,0.334,774.8,4.13,0.523,857.7,49.1,579.9
DH-001,56,58,10.92,2.12,230,8.9,5,1.88,912.1,3.26,0.048,62.6,4.96,0.327,1319.5,11.7,582.2
DH-001,58,60,5.46,1.92,1946,3.39,1.16,2.83,2589.2,1.45,0.277,522.2,7.29,0.823,845.7,99.2,519.7
DH-001,60,62,11.08,3.9,1211.3,2.17,3.49,0.8,947.4,3.18,0.358,68.5,4.13,1,1440.5,201,362.5
DH-001,62,64,6.71,1.77,964.9,9,0.53,0.45,2741.2,1.16,0.092,306.6,4.06,0.824,92.1,86.6,422
DH-001,64,66,5.65,4.66,2742,9.6,2.29,0.67,2286.5,1.69,0.393,645,0.5,0.998,165.1,112.2,174.7
DH-002,0,2,14.49,4.31,1914.8,8.76,2.52,2.67,2434.2,0.83,0.296,352.4,0.38,0.507,85.2,169.5,380.3
DH-002,2,4,14.66,2.2,247.4,8.29,2.68,1.97,152.2,2.26,0.477,797.8,4.45,0.23,294.2,128.2,276.1
DH-002,4,6,13.08,3.78,498.3,6.9,4.33,0.93,2892.2,3.43,0.031,451.7,3.56,0.899,821.1,215.6,291.8
DH-002,6,8,8.05,3.8,392.8,5.96,2.64,2.47,2207.3,2.13,0.14,263.7,6.73,0.465,975.4,216.8,455.9
DH-002,8,10,5.98,0.61,1684.8,1.78,2.97,2.6,983.8,1.28,0.305,183.9,1.37,0.822,87.5,4.5,172.7
DH-002,10,12,11.84,4.52,90.9,4.68,1.81,2.55,2505.2,2.28,0.155,286.9,0.3,0.361,1420,195,194.2
DH-002,12,14,9.4,2.58,1062.5,4.35,2.55,2.76,916.4,0.47,0.36,304.3,3.65,0.143,1266.4,116.3,555.2
DH-002,14,16,6.22,4.15,1774.9,3.34,1.75,0.83,2631,3.12,0.382,64.3,1.98,1.191,459,247.2,38.5
DH-002,16,18,9.95,1.67,2562.4,7.51,0.9,2.29,426.5,1.79,0.06,302,0.49,0.23,134.2,121.8,294
DH-002,18,20,5.34,4.49,552.4,5.46,3.82,1.44,2140.7,1.6,0.262,376.7,5.82,1.187,271.4,246.8,548.1
DH-002,20,22,14.09,2.01,2116.2,1.73,4.18,2.54,1668,2.07,0.259,581,0.98,1.174,207.9,189.1,368.2
DH-002,22,24,7.59,0.15,190.7,2.98,3.91,2.21,379.9,2.21,0.191,528.8,4.91,0.963,202.5,63.7,330.1
DH-002,24,26,11.63,4.54,2298.5,7.15,3.05,2.35,801.5,0.3,0.467,569.9,2.32,0.808,787.5,135.5,153.6
DH-002,26,28,8.12,0.55,213.7,1.69,2.59,2,136,2.41,0.415,16.6,1.47,0.714,383.9,248,209.2
DH-002,28,30,10.2,1.66,657.6,8.66,5.25,0.61,1459.4,0.88,0.352,182,3.1,1.046,550,214.7,512
DH-002,30,32,10.47,4.76,1965.2,5.46,3.35,1.68,973.7,2.51,0.36,532.7,6.43,0.383,1484.5,26.1,337.7
