HOLE_ID,FROM,TO,LITOLOGIA
DH-001,0,2,MONZONITA
DH-001,2,4,ANDESITA
DH-001,4,6,MONZONITA
DH-001,6,8,ANDESITA
DH-001,8,10,QFP
DH-001,10,12,ANDESITA
DH-001,12,14,MONZONITA
DH-001,14,16,DACITA
DH-001,16,18,MONZONITA
DH-001,18,20,DACITA
DH-001,20,22,QFP
DH-001,22,24,MONZONITA
DH-001,24,26,ANDESITA
DH-001,26,28,MONZONITA
DH-001,28,30,DACITA
DH-001,30,32,QFP
DH-001,32,34,ANDESITA
DH-001,34,36,MONZONITA
DH-001,36,38,DACITA
DH-001,38,40,ANDESITA
DH-001,40,42,QFP
DH-001,42,44,ANDESITA
DH-001,44,46,QFP
DH-001,46,48,ANDESITA
DH-001,48,50,MONZONITA
DH-001,50,52,DACITA
DH-001,52,54,MONZONITA
DH-001,54,56,MONZONITA
DH-001,56,58,QFP
DH-001,58,60,QFP
DH-001,60,62,QFP
DH-001,62,64,MONZONITA
DH-001,64,66,ANDESITA
DH-002,0,2,ANDESITA
DH-002,2,4,MONZONITA
DH-002,4,6,MONZONITA
DH-002,6,8,DACITA
DH-002,8,10,QFP
DH-002,10,12,QFP
DH-002,12,14,MONZONITA
DH-002,14,16,MONZONITA
DH-002,16,18,ANDESITA
DH-002,18,20,MONZONITA
DH-002,20,22,ANDESITA
DH-002,22,24,MONZONITA
DH-002,24,26,DACITA
DH-002,26,28,DACITA
DH-002,28,30,ANDESITA
DH-002,30,32,QFP
DH-002,32,34,DACITA
DH-002,34,36,ANDESITA
DH-002,36,38,MONZONITA
DH-002,38,40,MONZONITA
DH-002,40,42,ANDESITA
DH-002,42,44,QFP
DH-002,44,46,ANDESITA
DH-002,46,48,ANDESITA
DH-002,48,50,DACITA
DH-002,50,52,ANDESITA
DH-002,52,54,ANDESITA
DH-002,54,56,MONZONITA
DH-002,56,58,DACITA
DH-002,58,60,MONZONITA
DH-002,60,62,MONZONITA
DH-002,62,64,QFP
DH-002,64,66,QFP
DH-003,0,2,DACITA
DH-003,2,4,DACITA
DH-003,4,6,QFP
DH-003,6,8,QFP
DH-003,8,10,QFP
DH-003,10,12,QFP
DH-003,12,14,QFP
DH-003,14,16,MONZONITA
DH-003,16,18,DACITA
DH-003,18,20,MONZONITA
DH-003,20,22,MONZONITA
DH-003,22,24,ANDESITA
DH-003,24,26,MONZONITA
DH-003,26,28,QFP
DH-003,28,30,QFP
DH-003,30,32,ANDESITA
DH-003,32,34,ANDESITA
DH-003,34,36,ANDESITA
DH-003,36,38,ANDESITA
DH-003,38,40,ANDESITA
DH-003,40,42,MONZONITA
DH-003,42,44,ANDESITA
DH-003,44,46,MONZONITA
DH-003,46,48,DACITA
DH-003,48,50,ANDESITA
DH-003,50,52,ANDESITA
DH-003,52,54,MONZONITA
DH-003,54,56,DACITA
DH-003,56,58,MONZONITA
DH-003,58,60,MONZONITA
DH-003,60,62,ANDESITA
DH-003,62,64,QFP
DH-003,64,66,QFP
DH-004,0,2,MONZONITA
DH-004,2,4,ANDESITA
DH-004,4,6,DACITA
DH-004,6,8,QFP
DH-004,8,10,DACITA
DH-004,10,12,QFP
DH-004,12,14,ANDESITA
DH-004,14,16,MONZONITA
DH-004,16,18,DACITA
DH-004,18,20,DACITA
DH-004,20,22,MONZONITA
DH-004,22,24,DACITA
DH-004,24,26,QFP
DH-004,26,28,MONZONITA
DH-004,28,30,QFP
DH-004,30,32,QFP
DH-004,32,34,ANDESITA
DH-004,34,36,QFP
DH-004,36,38,ANDESITA
DH-004,38,40,DACITA
DH-004,40,42,DACITA
DH-004,42,44,ANDESITA
DH-004,44,46,QFP
DH-004,46,48,MONZONITA
DH-004,48,50,MONZONITA
DH-004,50,52,ANDESITA
DH-004,52,54,DACITA
DH-004,54,56,DACITA
DH-004,56,58,MONZONITA
DH-004,58,60,ANDESITA
DH-004,60,62,MONZONITA
DH-004,62,64,QFP
DH-004,64,66,QFP
DH-005,0,2,ANDESITA
DH-005,2,4,ANDESITA
DH-005,4,6,QFP
DH-005,6,8,DACITA
DH-005,8,10,ANDESITA
DH-005,10,12,QFP
DH-005,12,14,QFP
DH-005,14,16,DACITA
DH-005,16,18,DACITA
DH-005,18,20,DACITA
DH-005,20,22,DACITA
DH-005,22,24,MONZONITA
DH-005,24,26,DACITA
DH-005,26,28,MONZONITA
DH-005,28,30,ANDESITA
DH-005,30,32,QFP
DH-005,32,34,MONZONITA
DH-005,34,36,ANDESITA
DH-005,36,38,ANDESITA
DH-005,38,40,MONZONITA
DH-005,40,42,ANDESITA
DH-005,42,44,ANDESITA
DH-005,44,46,MONZONITA
DH-005,46,48,ANDESITA
DH-005,48,50,DACITA
DH-005,50,52,DACITA
DH-005,52,54,QFP
DH-005,54,56,ANDESITA
DH-005,56,58,QFP
DH-005,58,60,DACITA
DH-005,60,62,DACITA
DH-005,62,64,DACITA
DH-005,64,66,ANDESITA
DH-006,0,2,ANDESITA
DH-006,2,4,DACITA
DH-006,4,6,QFP
DH-006,6,8,QFP
DH-006,8,10,MONZONITA
DH-006,10,12,DACITA
DH-006,12,14,QFP
DH-006,14,16,DACITA
DH-006,16,18,QFP
DH-006,18,20,MONZONITA
DH-006,20,22,MONZONITA
DH-006,22,24,DACITA
DH-006,24,26,QFP
DH-006,26,28,ANDESITA
DH-006,28,30,MONZONITA
DH-006,30,32,DACITA
DH-006,32,34,DACITA
DH-006,34,36,QFP
DH-006,36,38,DACITA
DH-006,38,40,MONZONITA
DH-006,40,42,DACITA
DH-006,42,44,DACITA
DH-006,44,46,ANDESITA
DH-006,46,48,ANDESITA
DH-006,48,50,MONZONITA
DH-006,50,52,QFP
DH-006,52,54,ANDESITA
DH-006,54,56,QFP
DH-006,56,58,MONZONITA
DH-006,58,60,ANDESITA
DH-006,60,62,QFP
DH-006,62,64,ANDESITA
DH-006,64,66,MONZONITA
DH-007,0,2,MONZONITA
DH-007,2,4,ANDESITA
DH-007,4,6,QFP
DH-007,6,8,DACITA
DH-007,8,10,DACITA
DH-007,10,12,ANDESITA
DH-007,12,14,QFP
DH-007,14,16,DACITA
DH-007,16,18,MONZONITA
DH-007,18,20,QFP
DH-007,20,22,DACITA
DH-007,22,24,QFP
DH-007,24,26,ANDESITA
DH-007,26,28,QFP
DH-007,28,30,DACITA
DH-007,30,32,ANDESITA
DH-007,32,34,QFP
DH-007,34,36,MONZONITA
DH-007,36,38,DACITA
DH-007,38,40,ANDESITA
DH-007,40,42,QFP
DH-007,42,44,MONZONITA
DH-007,44,46,DACITA
DH-007,46,48,MONZONITA
DH-007,48,50,QFP
DH-007,50,52,QFP
DH-007,52,54,ANDESITA
DH-007,54,56,MONZONITA
DH-007,56,58,ANDESITA
DH-007,58,60,DACITA
DH-007,60,62,ANDESITA
DH-007,62,64,DACITA
DH-007,64,66,QFP
DH-008,0,2,QFP
DH-008,2,4,MONZONITA
DH-008,4,6,DACITA
DH-008,6,8,QFP
DH-008,8,10,MONZONITA
DH-008,10,12,MONZONITA
DH-008,12,14,ANDESITA
DH-008,14,16,MONZONITA
DH-008,16,18,QFP
DH-008,18,20,ANDESITA
DH-008,20,22,DACITA
DH-008,22,24,DACITA
DH-008,24,26,QFP
DH-008,26,28,QFP
DH-008,28,30,ANDESITA
DH-008,30,32,ANDESITA
DH-008,32,34,QFP
DH-008,34,36,QFP
DH-008,36,38,DACITA
DH-008,38,40,DACITA
DH-008,40,42,DACITA
DH-008,42,44,QFP
DH-008,44,46,MONZONITA
DH-008,46,48,QFP
DH-008,48,50,QFP
DH-008,50,52,DACITA
DH-008,52,54,QFP
DH-008,54,56,ANDESITA
DH-008,56,58,QFP
DH-008,58,60,QFP
DH-008,60,62,QFP
DH-008,62,64,QFP
DH-008,64,66,MONZONITA
DH-009,0,2,QFP
DH-009,2,4,ANDESITA
DH-009,4,6,ANDESITA
DH-009,6,8,QFP
DH-009,8,10,DACITA
DH-009,10,12,MONZONITA
DH-009,12,14,QFP
DH-009,14,16,QFP
DH-009,16,18,QFP
DH-009,18,20,DACITA
DH-009,20,22,DACITA
DH-009,22,24,DACITA
DH-009,24,26,MONZONITA
DH-009,26,28,ANDESITA
DH-009,28,30,MONZONITA
DH-009,30,32,DACITA
DH-009,32,34,ANDESITA
DH-009,34,36,ANDESITA
DH-009,36,38,DACITA
DH-009,38,40,DACITA
DH-009,40,42,MONZONITA
DH-009,42,44,DACITA
DH-009,44,46,ANDESITA
DH-009,46,48,QFP
DH-009,48,50,DACITA
DH-009,50,52,DACITA
DH-009,52,54,MONZONITA
DH-009,54,56,MONZONITA
DH-009,56,58,DACITA
DH-009,58,60,ANDESITA
DH-009,60,62,ANDESITA
DH-009,62,64,QFP
DH-009,64,66,DACITA
DH-010,0,2,MONZONITA
DH-010,2,4,ANDESITA
DH-010,4,6,QFP
DH-010,6,8,DACITA
DH-010,8,10,ANDESITA
DH-010,10,12,DACITA
DH-010,12,14,DACITA
DH-010,14,16,ANDESITA
DH-010,16,18,ANDESITA
DH-010,18,20,ANDESITA
DH-010,20,22,DACITA
DH-010,22,24,DACITA
DH-010,24,26,QFP
DH-010,26,28,MONZONITA
DH-010,28,30,DACITA
DH-010,30,32,MONZONITA
DH-010,32,34,ANDESITA
DH-010,34,36,DACITA
DH-010,36,38,QFP
DH-010,38,40,QFP
DH-010,40,42,MONZONITA
DH-010,42,44,ANDESITA
DH-010,44,46,MONZONITA
DH-010,46,48,ANDESITA
DH-010,48,50,QFP
DH-010,50,52,MONZONITA
DH-010,52,54,QFP
DH-010,54,56,QFP
DH-010,56,58,ANDESITA
DH-010,58,60,MONZONITA
DH-010,60,62,MONZONITA
DH-010,62,64,QFP
DH-010,64,66,QFP
DH-011,0,2,ANDESITA
DH-011,2,4,DACITA
DH-011,4,6,DACITA
DH-011,6,8,QFP
DH-011,8,10,DACITA
DH-011,10,12,DACITA
DH-011,12,14,DACITA
DH-011,14,16,DACITA
DH-011,16,18,QFP
DH-011,18,20,DACITA
DH-011,20,22,DACITA
DH-011,22,24,ANDESITA
DH-011,24,26,QFP
DH-011,26,28,MONZONITA
DH-011,28,30,MONZONITA
DH-011,30,32,ANDESITA
