HOLE_ID,FROM,TO,MINERAL_1,MINERAL_2,W2200_POS,TSA_SCORE
DH-001,0,2,Kaolinite,None,2203.4,0.82
DH-001,2,4,Muscovite,None,2208.1,0.46
DH-001,4,6,Kaolinite,Dickite,2199.1,0.93
DH-001,6,8,Kaolinite,Smectite,2199.9,0.89
DH-001,8,10,Alunite,Gypsum,2201.9,0.55
DH-001,10,12,Muscovite,Quartz,2205.3,0.85
DH-001,12,14,Kaolinite,Smectite,2202.4,0.69
DH-001,14,16,Chlorite,Smectite,2207.6,0.65
DH-001,16,18,Kaolinite,Dickite,2209.1,0.57
DH-001,18,20,Chlorite,Gypsum,2207.4,0.72
DH-001,20,22,Muscovite,Quartz,2211.5,0.8
DH-001,22,24,Epidote,Gypsum,2206.7,0.63
DH-001,24,26,Muscovite,Dickite,2200.1,0.75
DH-001,26,28,Epidote,None,2210.5,0.78
DH-001,28,30,Epidote,Smectite,2202.6,0.79
DH-001,30,32,Muscovite,Quartz,2208.6,0.43
DH-001,32,34,Kaolinite,None,2211.3,0.87
DH-001,34,36,Illite,Dickite,2206.8,0.65
DH-001,36,38,Kaolinite,Gypsum,2199,0.54
DH-001,38,40,Kaolinite,Smectite,2201.3,0.53
DH-001,40,42,Alunite,Quartz,2210.3,0.67
DH-001,42,44,Alunite,None,2204.3,0.89
DH-001,44,46,Kaolinite,None,2205.3,0.61
DH-001,46,48,Chlorite,Smectite,2208,0.81
DH-001,48,50,Epidote,Gypsum,2207.8,0.45
DH-001,50,52,Alunite,Dickite,2206.1,0.66
DH-001,52,54,Kaolinite,Gypsum,2204.2,0.95
DH-001,54,56,Illite,Gypsum,2203.7,0.82
DH-001,56,58,Chlorite,Gypsum,2208.4,0.52
DH-001,58,60,Muscovite,Smectite,2207.2,0.68
DH-001,60,62,Kaolinite,Smectite,2204,0.53
DH-001,62,64,Kaolinite,Dickite,2209.3,0.63
DH-001,64,66,Epidote,Gypsum,2204.5,0.83
DH-002,0,2,Chlorite,Smectite,2201.6,0.82
DH-002,2,4,Alunite,Dickite,2202,0.53
DH-002,4,6,Alunite,Dickite,2201.1,0.91
DH-002,6,8,Alunite,Gypsum,2203.9,0.73
DH-002,8,10,Muscovite,Quartz,2209.9,0.61
DH-002,10,12,Chlorite,Gypsum,2201.8,0.68
DH-002,12,14,Chlorite,Quartz,2205.8,0.73
DH-002,14,16,Alunite,Dickite,2202.4,0.71
DH-002,16,18,Alunite,Smectite,2204,0.67
DH-002,18,20,Epidote,None,2199,0.68
DH-002,20,22,Illite,Dickite,2204.1,0.5
DH-002,22,24,Illite,Smectite,2204.2,0.85
DH-002,24,26,Kaolinite,Dickite,2207.2,0.7
DH-002,26,28,Kaolinite,Gypsum,2205.9,0.47
DH-002,28,30,Chlorite,Quartz,2200.2,0.82
DH-002,30,32,Chlorite,Dickite,2209.3,0.91
DH-002,32,34,Muscovite,Smectite,2205.8,0.92
DH-002,34,36,Muscovite,Gypsum,2205.8,0.6
DH-002,36,38,Illite,None,2205,0.47
DH-002,38,40,Kaolinite,Gypsum,2202.9,0.69
DH-002,40,42,Illite,Quartz,2205.9,0.46
DH-002,42,44,Illite,Gypsum,2206.9,0.91
DH-002,44,46,Kaolinite,None,2198,0.5
DH-002,46,48,Muscovite,Smectite,2202.8,0.54
DH-002,48,50,Epidote,Dickite,2204,0.62
DH-002,50,52,Epidote,Quartz,2206,0.61
DH-002,52,54,Epidote,None,2209.8,0.84
DH-002,54,56,Kaolinite,Quartz,2201.9,0.65
DH-002,56,58,Alunite,Gypsum,2203,0.49
DH-002,58,60,Alunite,Quartz,2202.9,0.55
DH-002,60,62,Alunite,None,2201.8,0.68
DH-002,62,64,Chlorite,Dickite,2203.6,0.48
DH-002,64,66,Muscovite,Dickite,2208.1,0.74
DH-003,0,2,Muscovite,Quartz,2200.8,0.71
DH-003,2,4,Chlorite,Smectite,2206.7,0.79
DH-003,4,6,Illite,Quartz,2198.2,0.92
